Store,Dept,Date,Weekly_Sales,IsHoliday,MA_4
1,1,2010-02-05,24924.5,False,
29,5,2010-02-05,15552.08,False,
29,6,2010-02-05,3200.22,False,
29,7,2010-02-05,10820.05,False,13624.2125
29,8,2010-02-05,20055.64,False,12406.9975
2,49,2010-02-05,15767.0,False,12460.727499999999
29,9,2010-02-05,4419.73,False,12765.605
29,10,2010-02-05,7550.67,False,11948.26
29,11,2010-02-05,6964.21,False,8675.4025
29,12,2010-02-05,2293.66,False,5307.0675
29,13,2010-02-05,16488.73,False,8324.317500000001
29,14,2010-02-05,10724.7,False,9117.825
29,16,2010-02-05,1182.65,False,7672.435
29,17,2010-02-05,10178.7,False,9643.695
2,48,2010-02-05,2357.0,False,6110.762500000001
29,18,2010-02-05,1964.75,False,3920.775
29,20,2010-02-05,5173.68,False,4918.5325
29,21,2010-02-05,3680.21,False,3293.91
29,4,2010-02-05,13267.94,False,6021.645
29,3,2010-02-05,7669.53,False,7447.84
29,2,2010-02-05,23816.58,False,12108.565
29,1,2010-02-05,14715.68,False,14867.4325
28,80,2010-02-05,21577.08,False,16944.7175
28,81,2010-02-05,25570.15,False,21419.8725
28,82,2010-02-05,23519.02,False,21345.482500000002
28,83,2010-02-05,9564.44,False,20057.6725
28,85,2010-02-05,876.26,False,14882.4675
28,87,2010-02-05,14734.56,False,12173.57
2,54,2010-02-05,259.0,False,6358.5650000000005
28,90,2010-02-05,77587.85,False,23364.417500000003
29,22,2010-02-05,8094.59,False,25169.000000000004
28,91,2010-02-05,80421.01,False,41590.6125
28,93,2010-02-05,64252.0,False,57588.8625
28,94,2010-02-05,38174.75,False,47735.587499999994
28,95,2010-02-05,110836.01,False,73420.9425
28,96,2010-02-05,21018.53,False,58570.322499999995
28,97,2010-02-05,33119.18,False,50787.11749999999
2,52,2010-02-05,6096.46,False,42767.545
2,51,2010-02-05,49.88,False,15071.012499999999
28,98,2010-02-05,13768.1,False,13258.405
28,92,2010-02-05,135470.78,False,38846.305
28,79,2010-02-05,56704.07,False,51498.207500000004
29,23,2010-02-05,16052.46,False,55498.8525
29,25,2010-02-05,4279.42,False,53126.6825
29,54,2010-02-05,24.97,False,19265.23
29,55,2010-02-05,8215.95,False,7143.2
29,56,2010-02-05,359.5,False,3219.96
29,58,2010-02-05,1749.0,False,2587.355
2,42,2010-02-05,8438.99,False,4690.860000000001
29,59,2010-02-05,385.98,False,2733.3675
29,60,2010-02-05,7.0,False,2645.2425
29,67,2010-02-05,6352.61,False,3796.145
29,71,2010-02-05,5237.42,False,2995.7525
29,72,2010-02-05,57113.74,False,17177.6925
29,74,2010-02-05,9339.64,False,19510.8525
29,79,2010-02-05,9027.5,False,20179.574999999997
29,81,2010-02-05,6319.97,False,20450.212499999998
29,82,2010-02-05,7432.97,False,8030.02
2,41,2010-02-05,1707.77,False,6122.0525
29,83,2010-02-05,1076.54,False,4134.3125
29,85,2010-02-05,1409.28,False,2906.64
29,52,2010-02-05,1050.92,False,1311.1275
29,51,2010-02-05,3.0,False,884.935
29,46,2010-02-05,11641.81,False,3526.2524999999996
29,44,2010-02-05,2159.51,False,3713.81
29,26,2010-02-05,2619.38,False,4105.925
29,27,2010-02-05,1758.03,False,4544.6825
29,28,2010-02-05,768.62,False,1826.385
2,46,2010-02-05,30328.88,False,8868.7275
29,29,2010-02-05,4724.83,False,9395.09
29,30,2010-02-05,3778.5,False,9900.207499999999
29,31,2010-02-05,1432.0,False,10066.0525
2,45,2010-02-05,27.5,False,2490.7075
29,24,2010-02-05,3374.69,False,2153.1725
29,32,2010-02-05,4179.51,False,2253.425
29,34,2010-02-05,10418.5,False,4500.05
29,35,2010-02-05,2131.0,False,5025.925
29,36,2010-02-05,153.0,False,4220.5025000000005
29,38,2010-02-05,40349.81,False,13263.0775
29,40,2010-02-05,30094.42,False,18182.0575
29,41,2010-02-05,512.93,False,17777.539999999997
29,42,2010-02-05,3071.34,False,18507.125
2,44,2010-02-05,8788.47,False,10616.789999999999
29,33,2010-02-05,3627.71,False,4000.1125
28,74,2010-02-05,20797.14,False,9071.165
2,55,2010-02-05,17657.65,False,12717.7425
28,72,2010-02-05,107659.55,False,37435.5125
27,97,2010-02-05,25806.87,False,42980.302500000005
27,98,2010-02-05,13579.67,False,41175.935
28,1,2010-02-05,23176.07,False,42555.54
28,2,2010-02-05,68292.15,False,32713.69
28,3,2010-02-05,13879.91,False,29731.95
2,71,2010-02-05,7956.5,False,28326.1575
28,4,2010-02-05,33057.95,False,30796.6275
28,5,2010-02-05,40428.55,False,23830.7275
28,6,2010-02-05,6287.7,False,21932.675
28,7,2010-02-05,26116.12,False,26472.58
28,8,2010-02-05,40408.92,False,28310.322500000002
28,9,2010-02-05,16054.71,False,22216.8625
28,10,2010-02-05,22128.55,False,26177.075
28,11,2010-02-05,17063.08,False,23913.815
28,12,2010-02-05,4199.37,False,14861.4275
2,67,2010-02-05,15787.68,False,14794.67
28,13,2010-02-05,48989.99,False,21510.03
27,96,2010-02-05,17209.14,False,21546.545
27,95,2010-02-05,133147.07,False,53783.47
27,94,2010-02-05,74898.99,False,68561.2975
2,72,2010-02-05,119609.83,False,86216.2575
27,58,2010-02-05,4258.0,False,82978.4725
27,59,2010-02-05,754.73,False,49880.387500000004
27,67,2010-02-05,14392.58,False,34753.785
27,71,2010-02-05,16228.01,False,8908.33
27,72,2010-02-05,97653.66,False,32257.245000000003
27,74,2010-02-05,26530.94,False,38701.2975
27,79,2010-02-05,43174.98,False,45896.8975
27,80,2010-02-05,30306.9,False,49416.62
28,14,2010-02-05,26303.86,False,31579.170000000006
2,74,2010-02-05,22923.63,False,30677.342500000002
27,82,2010-02-05,20370.34,False,24976.182500000003
27,83,2010-02-05,12602.43,False,20550.065000000006
27,85,2010-02-05,2859.55,False,14688.987500000005
27,87,2010-02-05,17776.38,False,13402.175000000005
27,90,2010-02-05,119320.09,False,38139.6125
27,91,2010-02-05,88143.67,False,57024.9225
27,92,2010-02-05,177605.86,False,100711.5
27,93,2010-02-05,64944.45,False,112503.51749999999
27,81,2010-02-05,34162.43,False,91214.1025
28,16,2010-02-05,4495.94,False,70302.17
28,17,2010-02-05,15424.98,False,29756.949999999997
